Altium Designer Pick and Place Locations
C:\Users\Johnny-x-9c\Documents\Projects\Rambo Altium\Project Outputs\Assembly\Pick and Place_RAMBo_1.4a.csv

========================================================================================================================
File Design Information:

Date:       13/09/17
Time:       10:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)"
"RV34","VRS0402SR55R101N","TopLayer","C0402","64.0588","58.3692","360","Multi-Layer Varistor","64.0588","58.3692"
"RV33","VRS0402SR55R101N","TopLayer","C0402","66.4972","58.4454","360","Multi-Layer Varistor","66.4972","58.4454"
"Z3","CG0603MLC-05E","TopLayer","R0603","38.9636","90.1192","90","RESISTOR, American symbol","38.9636","90.1192"
"Q4","NCV8402AD","TopLayer","NCV8402AD-SOIC8","67.1923","101.0920","270","IC DVR LOW SIDE 8-SOIC","67.1830","101.0920"
"C97","100nF","TopLayer","C0402","58.3184","58.3946","180","CAP CER 0402 100nF 16V 10% X7R","58.3184","58.3946"
"C95","100nF","TopLayer","C0402","73.2282","97.3328","360","CAP CER 0402 100nF 16V 10% X7R","73.2282","97.3328"
"RV32","VRS0402SR55R101N","TopLayer","C0402","97.8408","94.9198","270","Multi-Layer Varistor","97.8408","94.9198"
"C94","100nF","TopLayer","C0402","57.9882","71.2216","180","CAP CER 0402 100nF 16V 10% X7R","57.9882","71.2216"
"C93","100nF","TopLayer","C0402","31.7246","113.4364","360","CAP CER 0402 100nF 16V 10% X7R","31.7246","113.4364"
"C92","100nF","TopLayer","C0402","92.7100","67.5132","360","CAP CER 0402 100nF 16V 10% X7R","92.7100","67.5132"
"C91","100nF","TopLayer","C0402","55.9562","58.3946","180","CAPACITOR, European symbol","55.9562","58.3946"
"C90","100nF","TopLayer","C0402","49.6824","72.2884","180","CAPACITOR, European symbol","49.6824","72.2884"
"C89","100nF","TopLayer","C0402","44.5770","58.4454","180","CAPACITOR, European symbol","44.5770","58.4454"
"C88","100nF","TopLayer","C0402","40.1574","72.1614","180","CAPACITOR, European symbol","40.1574","72.1614"
"C87","100nF","TopLayer","C0402","33.9852","57.8612","90","CAPACITOR, European symbol","33.9852","57.8612"
"C86","100nF","TopLayer","C0402","28.0670","72.6694","270","CAPACITOR, European symbol","28.0670","72.6694"
"RV31","VRS0402SR55R101N","TopLayer","C0402","86.3854","68.4759","270","Multi-Layer Varistor","86.3854","68.4759"
"RV30","VRS0402SR55R101N","TopLayer","C0402","75.7174","68.4784","270","Multi-Layer Varistor","75.7174","68.4784"
"RV29","VRS0402SR55R101N","TopLayer","C0402","93.8022","89.6112","90","Multi-Layer Varistor","93.8022","89.6112"
"RV28","VRS0402SR55R101N","TopLayer","C0402","93.7768","92.2274","270","Multi-Layer Varistor","93.7768","92.2274"
"RV27","VRS0402SR55R101N","TopLayer","C0402","86.3600","70.8406","270","Multi-Layer Varistor","86.3600","70.8406"
