Comment	Description	Designator	Footprint	MANUFACTURER #	LibRef

"0r"	"RESISTOR, American symbol"	"R12, R17, R18, R22, R26"	"R0603"	"CR0603J000ELF"	"R-US_R0603"
"0r1"	"RESISTOR, American symbol"	"R4, R7, R8, R10, R14, R15, R19, R20, R23, R24"	"R1206"	"CRM1206-FX-R100ELF"	"R-US_R1206"
"0.22uF"	"CAPACITOR, European symbol"	"C31, C36, C41, C46, C51"	"C0603"	"CC0603KRX7R7BB224 "	"C-EUC0603"
"1k"	"Array Chip Resistor   Source: RS Component / Phycomp"	"RN5"	"CAY16"	"ERJ-3EKF1001V"	"4R-NCAY16"
"1K"	"RESISTOR, American symbol"	"R33, R34, R35"	"R0603"	"ERJ-3EKF1001V"	"R-US_R0603"
"1M"	"RESISTOR, American symbol"	"R72"	"R0402"	"ERJ2GEJ105X"	"R-US_R0402"
"1uF"	"CAPACITOR, American symbol"	"C40"	"C0805"	"GRM21BR71H105KA12L"	"C-USC0805"
"1uF"	"CAPACITOR, European symbol"	"C16"	"C0603"	"CC0603ZRY5V6BB105 "	"C-EUC0603"
"1.8K"	"RESISTOR, American symbol"	"R40, R41, R50, R55, R58, R69"	"R0603"	"RC0603JR-071K8L"	"R-US_R0603"
"2k37"	"RES SMD 2.37K OHM 1% 1/16W 0402"	"R27, R28, R32, R36, R38, R39, R77, R78"	"R0402"	"RC0402FR-072K37L"	"RC0402FR-072K37L"
"3x2M"	"PIN HEADER"	"X17, X18"	"2X03"	"2213S-06G"	"PINHD-2X3"
"3.3K"	"RESISTOR, American symbol"	"R30"	"R0603"	"erj3geyj332v"	"R-US_R0603"
"4.7k"	"RES SMD 4.7K OHM 1% 1/16W 0402"	"R31, R37, R73, R79"	"R0402"	"RC0402FR-074K7L"	"RC0402FR-074K7L"
"4.7nF"	"CAPACITOR, European symbol"	"C63"	"C0402"	"CC0402KRX7R8BB472"	"C-EUC0402"
"10K"	"RES SMD 10K OHM 1% 1/16W 0402"	"R5, R6, R9, R16, R21, R25"	"R0402"	"RC0402FR-0710KP"	"RC0402FR-0710KP"
"10K"	"RESISTOR, American symbol"	"R44, R45, R46, R47"	"R0603"	"ERJ-3EKF1002V"	"R-US_R0603"
"10nF"	"CAPACITOR, American symbol"	"C35, C54"	"C0603"	"C1608X7R1E103K080AA"	"C-USC0603"
"10uF"	"CAP CER 10UF 35V 10% X5R 1206"	"C25, C30, C45"	"C1206"	"GRM319R6YA106KA12D"	"10uF 1206 35V X5R"
"10uF"	"CAPACITOR, American symbol"	"C2"	"C0805"	"C0805C106K8PACTU"	"C-USC0805"
"10uH"	"INDUCTOR, American symbol"	"L2"	"C0805"	"CBC2012T100M"	"L-US"
"16MHz KX-7"	""	"Y1, Y2"	"CRYSTAL-3.2-2.5"	"7M-16.000MEEQ-T"	"CRYSTAL-3.2-2.5"
"22pF"	"CAPACITOR, European symbol"	"C1, C12, C13, C57, C58"	"C0603"	"C1608C0G1H220J"	"C-EUC0603"
"22R"	"RESISTOR, American symbol"	"R1, R2, R64, R74, R75, R76"	"R0402"	"RC0402FR-0722RL"	"R-US_R0402"
"31-XX"	"OMRON SWITCHNow with beefier pads!"	"S1"	"B3F-31XX"	"1571610-2"	"31-XX"
"32u2 EXT"	""	"X16"	"2X8"	""	"M08X2"
"33uH"	"FIXED IND 33UH 1.7A 145 MOHM SMD"	"L3"	"INDP8080X40L"	"SRN8040-330M"	"10uH 1.7A"
"56r"	"RESISTOR, American symbol"	"R29, R65, R66, R67, R68"	"R0603"	"CRCW060356R0JNEA"	"R-US_R0603"
"100K"	"RESISTOR, American symbol"	"R43, R49, R52, R54, R57, R59, R60, R61, R62, R63, R71"	"R0603"	"RC0603FR-07100KL"	"R-US_R0603"
"100nF"	"CAP CER 0402 100nF 16V 10% X7R"	"C3, C53, C56, C59, C64, C96"	"C0402"	"GRM155R71C104KA88D"	"GRM155R71C104KA88D"
"100nF"	"CAP CER 0402 100nF 16V 10% X7R"	"C6, C7, C8, C9, C26, C52, C78, C92, C93, C94, C95, C97"	"C0402"	"GRM155R71C104KA88D"	"100nF 0402 16V X7R"
"100nF"	"CAP CER 0603 100nF 50V 10% X7R"	"C60, C62"	"C0603"	"C0603C104K5RACTU"	"C0603C104K5RACTU"
"100nF"	"CAPACITOR, European symbol"	"C4, C10, C11, C14, C15, C17, C18, C23, C24, C27, C28, C29, C32, C33, C34, C37, C38, C39, C42, C43, C44, C47, C48, C49, C55, C71, C72, C73, C74, C75"	"C0603"	"C0603C104K5RACTU"	"C-EUC0603"
"100nF"	"CAPACITOR, European symbol"	"C5, C19, C20, C21, C86, C87, C88, C89, C90, C91"	"C0402"	"GRM155R71C104KA88D"	"C-EUC0402"
"100pF"	"Capacitor Non Polarized"	"C22, C50, C61, C67, C68, C69, C70, C77, C79, C80, C81, C82, C83, C84, C85"	"C0402"	"GRM1555C1H101JA01D"	"C0402TBD"
"100R"	"RES SMD 100 OHM 1% 1/16W 0402"	"R42, R48, R51, R53, R56, R70"	"R0402"	"RC0402FR-07100RL"	"100R 1% 0402"
"100uF"	"POLARIZED CAPACITOR, American symbol"	"C65, C66"	"E3,5-8"	"UVZ1H101MPD1TD"	"CPOL-USE3.5-8"
"120R"	"FERRITE BEAD 120 OHM 0402 1LN"	"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8, FB9, FB10, FB11, FB12, FB13, FB14, FB15, FB16, FB17, FB18, FB19, FB20, FB21, FB22, FB23, FB24, FB25, FB26, FB27, FB28, FB29, FB30, FB31, FB32"	"R0402"	"BKP1005HS121-T"	"FERRITE 120R 1A 0402"
"470K"	"RESISTOR, American symbol"	"R3"	"R0603"	"CRCW0603470KFKEA "	"R-US_R0603"
"470uF"	"POLARIZED CAPACITOR, American symbol"	"C76"	"C12,5-5"	"UPW1H471MHD1TO"	"CPOL-USC12,5-5"
"A4982"	""	"U5, U6, U7, U8, U9"	"QFN50P500X500X100_HS-33L"	"A4982SETTR-T"	"A4982QFN32ROUNDPADS"
"AD5206"	""	"U4"	"TSSOP24"	"AD5206BRUZ10-RL7"	"AD5206"
"ADUM7441"	""	"U10"	"QSOP16"	"ADUM7441ARQZ-RL7"	"ADUM7441"
"Analog"	""	"X40"	"2X4"	"2213S-08G "	"M04X2"
"Atmega2560"	"Atmega2560"	"U2"	"TSQFP50P1600X1600X120-100L"	"ATMEGA2560-16AUR"	"ATMEGA2560AU"
"ATMEGA32U2-MUR"	""	"U1"	"QFN32TROUND"	"ATMEGA32U2MU"	"ATMEGA16U2-MU2"
"BAT54"	"Diode Schottky 30V 100mA Surface Mount SOD-523"	"D11, D12, D13, D14, D15, D16, D17, D18"	"SOD523_IPC"	"BAT54WT-7"	"BAT54WT-7"
"BLM41PG600SN1"	"FERRITE BEAD 1806 60ohm"	"L1, L4"	"L1806"	"BLM41PG600SN1L"	"BLM41PG600SN1L"
"C-GRID-02-70543"	"CONNECTOR   wire to board 2.54 mm (0.100") pitch header"	"X1, X3, X5, X9, X27, X28, X29, X30"	"70543-02"	"70543-0001"	"C-GRID-02-70543"
"C-GRID-03-70543"	"CONNECTOR   wire to board 2.54 mm (0.100") pitch header"	"X21, X22, X23, X24, X25, X26"	"70543-03"	"70543-0002"	"C-GRID-03-70543"
"C-GRID-04-70543"	"CONNECTOR   wire to board 2.54 mm (0.100") pitch header"	"X10"	"70543-04"	"70543-0038"	"C-GRID-04-70543"
"C-GRID-04-70543"	"PHOENIX CONNECTOR"	"X4, X6, X7, X8, X14, X15"	"4POL254"	"70543-0038"	"MPT4"
"CD1206-S01575"	"DIODE"	"D4, D5"	"MINIMELF"	"CD1206-S01575"	"DIODE-MINIMELF"
"CG0603MLC-05E"	"RESISTOR, American symbol"	"Z1, Z2, Z3"	"R0603"	"CG0603MLC-05E"	"R-US_R0603"
"FIDUCIAL1X2.5"	"Fiducial Alignment PointsVarious fiducial points for machine vision alignment."	"FID1, FID2, FID3"	"FIDUCIAL-1X2.5"	""	"FIDUCIAL1X2.5"
"FUSE"	""	"F4"	"FUSE-ATO-SMD"	"3587TR"	"FUSE"
"GND"	"Pin header 1x1 for 0.1" spacing   With round pins"	"TP24"	"1X01"	""	"PINHD-1X1"
